ma,horse
À¿,skull
1,one
2,two
3,three
4,four
5,five
6,six
7,seven
8,eight
9,nine
0,zero
zan,+1
≤Ó,-1
la,hot_pepper
na,hot_pepper
zhen,syringe
de,sweat_drops
di,sweat_drops
shi,shit
xiao,smile
ku,sob
nu,rage
xin,heart
!,exclamation
?,?
huo,fire
quan,punch
zhang,wave
zhi,point_left
zou,walking
pao,running
cao,fu
∫¢,baby
¿œ,old_man
“Ù¿÷,musical_note
yin,musical_note
shou,hand
nv,girl
mao,cat
yan,eyes
er,ear
she,tongue
tian,tongue
±∆,beer
pi,beer
niu,cow
gou,dog
ji,chicken
hou,monkey_face
¥∏◊”,hammer
chui,hammer
ren,person_with_blond_hair
yao,pill
jia,heavy_plus_sign
jian,heavy_minus_sign
ling,o
dui,ballot_box_with_check
cuo,x
